SOURCE,UNID,Unnamed: 3,COUNTRY,PROVINCE,CITY,LAT,LON,WWTP/MUNICIPALITY,WWTP start up,Reuse project start up,Status of operation for WWTP ,Status of operation for Reuse project (yes/no),Wastewater input type ,WW Treatment Level ,Technology used,Desgin Capacity (m3/yr),Average Capacity (m3/yr),Volume of  WW actually treated (m3/yr),Disposal Category,Name of the water body/valley/wwtp,Amount disposed (m3/yr),Reuse Category,Actual direct reuse (m3/yr),Area of Land Receiving TWW (ha),Scoring classifier,probability classifier,scoring object detection,probability,number of rectangular tanks,number circular tanks,url link
Javier,EG27,Kafr Taboot,Egypt,,El Ayyat,29.72609421,31.26109377,Municipality,2015,,Operational ,No,Municipal,Max tertiary ,,1095000,,,,,,,,,1,0.633019745,,,,,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG27_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG28,Kafr Al Waslin,Egypt,,El Wahat El Bahariya,29.43646767,31.29619363,WWTP,2021,,Operational ,No,Municipal,Max tertiary ,,9125000,,,,,,,,,1,0.996121585,,,1,4,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG28_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG29,Balqus,Egypt,Qalyubia,Shubra El Kheima,30.160678,31.298328,WWTP,1995,,Operational ,No,Municipal,Max secondary ,Activated Sludge,219000000,158775000,158775000,Surface water,Shebin el-Kanater drain,158775000,,0,0,1,0.84318769,Wastewater-Treatment-Facility,0.83421433,3,30,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG29_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG30,Banha,Egypt,,Banha,30.431704,31.162459,WWTP,2004,,Operational ,No,Municipal,Max secondary ,Surface Areation,25550000,29200000,29200000,Surface water,El Mazraa,29200000,,0,0,1,0.997721493,Wastewater-Treatment-Facility,0.869497538,8,15,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG30_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG31,Kafr Moys,Egypt,,Banha,30.468157,31.235931,WWTP,2008,,Operational ,No,Municipal,Max secondary ,,547500,657000,657000,Surface water,Met Eazed,657000,,0,0,1,0.998563826,Wastewater-Treatment-Facility,0.733201325,0,2,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG31_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG32,Dmalo,Egypt,,Banha,30.514112,31.196018,WWTP,2014,,Operational ,No,Municipal,Max secondary ,,2190000,2190000,2190000,Surface water,,2190000,,0,0,1,0.999472201,Wastewater-Treatment-Facility,0.886126816,5,0,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG32_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG33,Kafr shukr ,Egypt,,Kafr shukr ,30.52164,31.276824,WWTP,1997,,Operational ,No,Municipal,Max secondary ,Surface Areation,3650000,4380000,4380000,Surface water,Al-Walka,4380000,,0,0,1,0.999560177,Wastewater-Treatment-Facility,0.91772151,3,2,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG33_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG34,Kafr Shukr extention,Egypt,,Kafr shukr ,30.52164,31.276824,WWTP,2015,,Operational ,No,Municipal,Max secondary ,Surface Areation,7300000,5840000,5840000,Surface water,Al-Walka,5840000,,0,0,1,0.999560177,Wastewater-Treatment-Facility,0.91772151,3,2,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG34_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG35,Meet Kenana,Egypt,,Toukh,30.375376,31.283051,WWTP,2000,,Operational ,No,Municipal,Max secondary ,,730000,1460000,1460000,Surface water,Met Kanana,1460000,,0,0,1,0.99881494,Wastewater-Treatment-Facility,0.809018552,0,3,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG35_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
Javier,EG36,Ajhur alkubraa,Egypt,,Toukh,30.289861,31.157008,WWTP,2009,,Operational ,No,Municipal,Max secondary ,,2190000,1277500,1277500,Surface water,,1277500,,0,0,1,0.976624191,Wastewater-Treatment-Facility,0.541277885,1,4,https://cgiar.sharepoint.com/:i:/r/sites/IWMI-E-ReWater/Shared%20Documents/Pilar%201%20-%20AI/images/Re_Train/Javier_Database_Image/images_Egypt/Javier_Egypt_EG36_map_zoom_17.tif?csf=1&web=1&e=TJ9F3O
